station,region,pop,address
PARIS EST,IDF,2175601,"Rue du 8 Mai 1945, 75010 Paris, France"
REIMS,GE,182211,"1 Rue du Colonel Driant, 51100 Reims, France"
PARIS LYON,IDF,2175601,"Pl. Louis-Armand, 75012 Paris, France"
CHAMBERY CHALLES LES EAUX,ARA,58833,"Pl. de la Gare, 73010 Chambéry, France"
LYON PART DIEU,ARA,518635,"5 Pl. Charles Béraudier, 69003 Lyon, France"
MONTPELLIER,O,290053,"Pl. Auguste Gibert, 34000 Montpellier, France"
MULHOUSE VILLE,GE,108942,"10 Av. du Général Leclerc, 68100 Mulhouse, France"
PARIS MONTPARNASSE,IDF,2175601,"17 Bd de Vaugirard, 75015 Paris, France"
BORDEAUX ST JEAN,NAQ,257068,"Rue Charles Domercq, 33800 Bordeaux, France"
LA ROCHELLE VILLE,NAQ,76114,"Pl. Pierre Semard, 17000 La Rochelle, France"
POITIERS,NAQ,88665,"2 Bd Pont Achard, 86000 Poitiers, France"
VANNES,B,53438,"Av. Favrel et Lincy, 56000 Vannes, France"
LILLE,HDF,233098,"1 Place François Mitterrand, 59777 Euralille, France"
ANGERS SAINT LAUD,PDL,154508,"1 Esplanade de la Gare, 49100 Angers, France"
DOUAI,HDF,39634,"Pl. de la Gare, 59500 Douai, France"
MACON LOCHE,BFC,33810,"142 Rue Pouilly Loché, 71000 Mâcon, France"
MARSEILLE ST CHARLES,PAC,868277,"Sq. Narvik, 13232 Marseille, France"
NANCY,GE,104885,"3 Place Thiers, 54000 Nancy, France"
PARIS NORD,IDF,2175601,"18 Rue de Dunkerque, 75010 Paris, France"
PERPIGNAN,O,119188,"66000 Perpignan, France"
RENNES,B,217728,"19 Pl. de la Gare, 35005 Rennes, France"
SAINT ETIENNE CHATEAUCREUX,ARA,173089,"42000 Saint-Étienne, France"
ST PIERRE DES CORPS,CVL,136463,"67 Rue Fabienne Landy, 37700 Saint-Pierre-des-Corps, France"
VALENCE ALIXAN TGV,ARA,64726,"26300 Alixan, France"
LAVAL,PDL,49573,"Place de la Gare, 53000 Laval, France"
NANTES,PDL,314138,"27 Bd de Stalingrad, 44041 Nantes, France"
QUIMPER,B,63166,"1 Pl. Louis Armand, 29000 Quimper, France"
TOULOUSE MATABIAU,O,486828,"Bd Pierre Semard, 31500 Toulouse, France"
ZURICH,INTL,415215,"Bahnhofpl., 8001 Zürich, Switzerland"
METZ,GE,116581,"1 Pl. du Général de Gaulle, 57000 Metz, France"
AVIGNON TGV,PAC,91729,"84000 Avignon, France"
LE MANS,PDL,143252,"Pl. du 8 Mai 1945, 72000 Le Mans, France"
ITALIE,INTL,1399860,"Piazza Duca d'Aosta, 1, 20124 Milano MI, Italy"
BESANCON FRANCHE COMTE TGV,BFC,116775,"Lieu-dit Grand-Bois Le Pasquier, 25870 Auxon, France"
NIMES,O,149633,"1 Bd Sergent Triaire, 30000 Nîmes, France"
ANGOULEME,NAQ,41711,"16006 Angoulême, France"
ST MALO,B,46478,"Av. Anita Conti, 35400 Saint-Malo, France"
TOURS,CVL,136463,"Pl. du Général Leclerc, 37000 Tours, France"
ARRAS,HDF,41555,"Pl. du Maréchal Foch, 62000 Arras, France"
STUTTGART,INTL,630305,"Arnulf-Klett-Platz 2, 70173 Stuttgart, Germany"
GENEVE,INTL,201818,"1201 Geneva, Switzerland"
DIJON VILLE,BFC,156854,"Cr de la gare, 21000 Dijon, France"
TOULON,PAC,176198,"Pl. de l'Europe, 83000 Toulon, France"
DUNKERQUE,HDF,86865,"Pl. de la Gare, 59140 Dunkerque, France"
BELLEGARDE (AIN),ARA,11675,"01200 Valserhône, France"
BREST,B,139602,"08 Pl. du 19eme Régiment d'Infanterie, 29200 Brest, France"
ANNECY,ARA,128199,"Pl. de la Gare, 74000 Annecy, France"
GRENOBLE,ARA,157650,"1 Pl. de la Gare, 38000 Grenoble, France"
LE CREUSOT MONTCEAU MONTCHANIN,BFC,21491,"71210 Écuisses, France"
FRANCFORT,INTL,764104,"Am Hauptbahnhof, 60329 Frankfurt am Main, Germany"
STRASBOURG,GE,284677,"Pl. de la Gare, 67000 Strasbourg, France"
LAUSANNE,INTL,139111,"Pl. de la Gare 5A, 1003 Lausanne, Switzerland"
AIX EN PROVENCE TGV,PAC,143097,"13290 Aix-en-Provence, France"
NICE VILLE,PAC,341032,"06000 Nice, France"
TOURCOING,HDF,97442,"11 Pl. Pierre Semard, 59200 Tourcoing, France"
MARNE LA VALLEE,IDF,227943,"Pl. des Passagers du Vent, 77700 Chessy, France"
PARIS VAUGIRARD,IDF,2175601,"75015 Paris, France"
BARCELONA,INTL,1620343,"Plaça dels Països Catalans, 1, 7, 08014 Barcelona, Spain"
MADRID,INTL,3223334,"28036 Madrid, Spain"